Sheet,Serial Number,"Assignments contributed to my learning (ex:research papers, homework, etc.)","Activities contributed to my learning (ex:group work, discussion, presentations, field work/trips, etc.)","The instructor provided feedback that supported my learning ","The instructor offered timely responses to questions and concerns ","The instructor encouraged communication among class members","The instructor communicated concepts clearly ","Course requirements, procedures, and expectations are clearly stated in the syllabus ","The grading criteria for this course were clearly defined","The grading criteria for this course were clearly applied ","What expectations did you have going into this course?","What contributed most to your learning in this course?","What grade did you expect to get in this course?","What additional comments or feedback would you like to offer this instructor ",Source of dataset
1,00019,1,1,1,1,1,1,1,1,1,"[IMAGE]","[IMAGE]","[IMAGE]","[IMAGE]","P"
2,00020,1,1,1,1,1,1,1,1,1,"[IMAGE]","[IMAGE]","[IMAGE]","[IMAGE]","P"
3,00021,1,1,2,1,,1,1,1,1,"[IMAGE]","[IMAGE]","[IMAGE]","[IMAGE]","P"
4,00022,1,1,2,1,1,1,1,1,1,"[IMAGE]","[IMAGE]","[IMAGE]","[IMAGE]","P"
5,00023,0,2,3,2,2,2,2,2,2,"[IMAGE]","[IMAGE]","[IMAGE]","[IMAGE]","P"
6,00024,2,2,3,2,2,2,2,2,2,"[IMAGE]","[IMAGE]","[IMAGE]","[IMAGE]","P"
7,00025,1,2,2,2,1,2,2,1,1,"[IMAGE]","[IMAGE]","[IMAGE]","[IMAGE]","P"
8,00026,1,1,1,1,2,1,1,1,1,"[IMAGE]","[IMAGE]","[IMAGE]","[IMAGE]","P"
9,00027,1,1,1,1,1,1,1,1,1,"[IMAGE]","[IMAGE]","[IMAGE]","[IMAGE]","P"
10,00028,,2,2,,2,3,2,2,2,"[IMAGE]","[IMAGE]","[IMAGE]","[IMAGE]","P"
11,00029,2,2,2,2,2,2,2,2,2,"[IMAGE]","[IMAGE]","[IMAGE]","[IMAGE]","P"
12,00030,1,1,1,1,1,3,1,1,1,"[IMAGE]","[IMAGE]","[IMAGE]","[IMAGE]","P"
13,00031,1,1,2,1,1,1,1,1,1,"[IMAGE]","[IMAGE]","[IMAGE]","[IMAGE]","P"
14,00032,1,1,1,1,1,1,1,1,1,"[IMAGE]","[IMAGE]","[IMAGE]","[IMAGE]","P"
15,00033,2,2,2,2,2,2,2,2,2,"[IMAGE]","[IMAGE]","[IMAGE]","[IMAGE]","P"
16,00042,1,1,1,1,,1,1,1,1,"[IMAGE]","[IMAGE]","[IMAGE]","[IMAGE]","P"
17,00043,1,1,1,1,1,1,1,1,1,"[IMAGE]","[IMAGE]","[IMAGE]","[IMAGE]","P"
18,00044,2,2,2,2,2,2,2,2,2,"[IMAGE]","[IMAGE]","[IMAGE]","[IMAGE]","P"
19,00045,1,1,1,1,1,1,1,1,1,"[IMAGE]","[IMAGE]","[IMAGE]","[IMAGE]","P"
20,00046,1,1,1,1,1,1,1,1,1,"[IMAGE]","[IMAGE]","[IMAGE]","[IMAGE]","P"
21,00047,1,1,1,1,1,1,1,2,2,"[IMAGE]","[IMAGE]","[IMAGE]","[IMAGE]","P"
22,00048,2,2,1,1,1,2,1,2,1,"[IMAGE]","[IMAGE]","[IMAGE]","[IMAGE]","P"
23,00049,1,2,2,1,1,2,1,1,2,"[IMAGE]","[IMAGE]","[IMAGE]","[IMAGE]","P"
24,00050,,,,,,,,,,"[IMAGE]","[IMAGE]","[IMAGE]","[IMAGE]","P"
25,00051,1,1,1,1,1,1,1,1,1,"[IMAGE]","[IMAGE]","[IMAGE]","[IMAGE]","P"
